Week,Pot,Date of Plating,Date of CR morphotype ID,Subsample,Sample ID,Isolate,CRScore
1,17,6/25/2015,7/1/2015,1,C17.1.1,2,NA
1,17,6/25/2015,7/1/2015,1,C17.1.1,3,NA
1,17,6/25/2015,7/1/2015,1,C17.1.1,4,NA
1,17,6/25/2015,7/1/2015,1,C17.1.1,5,NA
1,17,6/25/2015,7/1/2015,1,C17.1.1,6,NA
1,17,6/25/2015,7/1/2015,2,C17.1.2,1,NA
1,17,6/25/2015,7/1/2015,2,C17.1.2,2,NA
1,17,6/25/2015,7/1/2015,2,C17.1.2,3,NA
1,17,6/25/2015,7/1/2015,2,C17.1.2,4,NA
1,17,6/25/2015,7/1/2015,2,C17.1.2,5,NA
1,17,6/25/2015,7/1/2015,2,C17.1.2,6,NA
1,18,6/25/2015,7/1/2015,1,C18.1.1,1,5
1,18,6/25/2015,7/1/2015,1,C18.1.1,2,5
1,18,6/25/2015,7/1/2015,1,C18.1.1,3,4
1,18,6/25/2015,7/1/2015,1,C18.1.1,4,5
1,18,6/25/2015,7/1/2015,1,C18.1.1,5,4
1,18,6/25/2015,7/1/2015,1,C18.1.1,6,5
1,18,6/25/2015,7/1/2015,2,C18.1.2,1,3
1,18,6/25/2015,7/1/2015,2,C18.1.2,2,3
1,18,6/25/2015,7/1/2015,2,C18.1.2,3,3
1,18,6/25/2015,7/1/2015,2,C18.1.2,4,3
1,18,6/25/2015,7/1/2015,2,C18.1.2,5,5
1,18,6/25/2015,7/1/2015,2,C18.1.2,6,3
1,19,6/25/2015,7/1/2015,1,C19.1.1,1,3
1,19,6/25/2015,7/1/2015,1,C19.1.1,2,4
1,19,6/25/2015,7/1/2015,1,C19.1.1,3,3
1,19,6/25/2015,7/1/2015,1,C19.1.1,4,3
1,19,6/25/2015,7/1/2015,1,C19.1.1,5,4
1,19,6/25/2015,7/1/2015,1,C19.1.1,6,3
1,19,6/25/2015,7/1/2015,2,C19.1.2,1,3
1,19,6/25/2015,7/1/2015,2,C19.1.2,2,3
1,19,6/25/2015,7/1/2015,2,C19.1.2,3,4
1,19,6/25/2015,7/1/2015,2,C19.1.2,4,5
1,19,6/25/2015,7/1/2015,2,C19.1.2,5,3
1,19,6/25/2015,7/1/2015,2,C19.1.2,6,4
1,20,6/25/2015,7/1/2015,1,C20.1.1,1,3
1,20,6/25/2015,7/1/2015,1,C20.1.1,2,5
1,20,6/25/2015,7/1/2015,1,C20.1.1,3,5
1,20,6/25/2015,7/1/2015,1,C20.1.1,4,5
1,20,6/25/2015,7/1/2015,1,C20.1.1,5,5
1,20,6/25/2015,7/1/2015,1,C20.1.1,6,5
1,20,6/25/2015,7/1/2015,2,C20.1.2,1,3
1,20,6/25/2015,7/1/2015,2,C20.1.2,2,5
1,20,6/25/2015,7/1/2015,2,C20.1.2,3,5
1,20,6/25/2015,7/1/2015,2,C20.1.2,4,5
1,20,6/25/2015,7/1/2015,2,C20.1.2,5,4
1,20,6/25/2015,7/1/2015,2,C20.1.2,6,5
2,1,7/2/2015,,1,C1.2.1,1,NA
2,1,7/2/2015,,1,C1.2.1,2,NA
2,1,7/2/2015,,1,C1.2.1,3,NA
2,1,7/2/2015,,1,C1.2.1,4,NA
2,1,7/2/2015,,1,C1.2.1,5,NA
2,1,7/2/2015,,1,C1.2.1,6,NA
2,1,7/2/2015,,2,C1.2.2,1,NA
2,1,7/2/2015,,2,C1.2.2,2,NA
2,1,7/2/2015,,2,C1.2.2,3,NA
2,1,7/2/2015,,2,C1.2.2,4,NA
2,1,7/2/2015,,2,C1.2.2,5,NA
2,1,7/2/2015,,2,C1.2.2,6,NA
2,2,7/2/2015,,1,C2.2.1,1,NA
2,2,7/2/2015,,1,C2.2.1,2,NA
2,2,7/2/2015,,1,C2.2.1,3,NA
2,2,7/2/2015,,1,C2.2.1,4,NA
2,2,7/2/2015,,1,C2.2.1,5,NA
2,2,7/2/2015,,1,C2.2.1,6,NA
2,2,7/2/2015,,2,C2.2.2,1,NA
2,2,7/2/2015,,2,C2.2.2,2,NA
2,2,7/2/2015,,2,C2.2.2,3,NA
2,2,7/2/2015,,2,C2.2.2,4,NA
2,2,7/2/2015,,2,C2.2.2,5,NA
2,2,7/2/2015,,2,C2.2.2,6,NA
2,3,7/2/2015,,1,C3.2.1,1,NA
2,3,7/2/2015,,1,C3.2.1,2,NA
2,3,7/2/2015,,1,C3.2.1,3,NA
2,3,7/2/2015,,1,C3.2.1,4,NA
2,3,7/2/2015,,1,C3.2.1,5,NA
2,3,7/2/2015,,1,C3.2.1,6,NA
2,3,7/2/2015,,2,C3.2.2,1,1
2,3,7/2/2015,,2,C3.2.2,2,4
2,3,7/2/2015,,2,C3.2.2,3,3
2,3,7/2/2015,,2,C3.2.2,4,3
2,3,7/2/2015,,2,C3.2.2,5,3
2,3,7/2/2015,,2,C3.2.2,6,1
2,4,7/2/2015,,1,C4.2.1,1,NA
2,4,7/2/2015,,1,C4.2.1,2,NA
2,4,7/2/2015,,1,C4.2.1,3,NA
2,4,7/2/2015,,1,C4.2.1,4,NA
2,4,7/2/2015,,1,C4.2.1,5,NA
2,4,7/2/2015,,1,C4.2.1,6,NA
2,4,7/2/2015,,2,C4.2.2,1,5
2,4,7/2/2015,,2,C4.2.2,2,5
2,4,7/2/2015,,2,C4.2.2,3,5
2,4,7/2/2015,,2,C4.2.2,4,4
2,4,7/2/2015,,2,C4.2.2,5,5
2,4,7/2/2015,,2,C4.2.2,6,4
2,5,7/2/2015,,1,C5.2.1,1,5
2,5,7/2/2015,,1,C5.2.1,2,5
2,5,7/2/2015,,1,C5.2.1,3,4
2,5,7/2/2015,,1,C5.2.1,4,4
2,5,7/2/2015,,1,C5.2.1,5,5
2,5,7/2/2015,,1,C5.2.1,6,5
2,5,7/2/2015,,2,C5.2.2,1,5
2,5,7/2/2015,,2,C5.2.2,2,5
2,5,7/2/2015,,2,C5.2.2,3,5
2,5,7/2/2015,,2,C5.2.2,4,5
2,5,7/2/2015,,2,C5.2.2,5,5
2,6,7/2/2015,,2,C5.2.2,6,5
2,6,7/2/2015,,1,C6.2.1,1,5
2,6,7/2/2015,,1,C6.2.1,2,5
2,6,7/2/2015,,1,C6.2.1,3,5
2,6,7/2/2015,,1,C6.2.1,4,5
2,6,7/2/2015,,1,C6.2.1,5,5
2,6,7/2/2015,,1,C6.2.1,6,3
2,6,7/2/2015,,2,C6.2.2,1,4
2,6,7/2/2015,,2,C6.2.2,2,4
2,6,7/2/2015,,2,C6.2.2,3,4
2,6,7/2/2015,,2,C6.2.2,4,4
2,6,7/2/2015,,2,C6.2.2,5,3
2,6,7/2/2015,,2,C6.2.2,6,4
2,15,7/2/2015,,1,C15.2.1,1,NA
2,15,7/2/2015,,1,C15.2.1,2,NA
2,15,7/2/2015,,1,C15.2.1,3,NA
2,15,7/2/2015,,1,C15.2.1,4,NA
2,15,7/2/2015,,1,C15.2.1,5,NA
2,15,7/2/2015,,1,C15.2.1,6,NA
2,15,7/2/2015,,2,C15.2.2,1,NA
2,15,7/2/2015,,2,C15.2.2,2,NA
2,15,7/2/2015,,2,C15.2.2,3,NA
2,15,7/2/2015,,2,C15.2.2,4,NA
2,15,7/2/2015,,2,C15.2.2,5,NA
2,15,7/2/2015,,2,C15.2.2,6,NA
2,16,7/2/2015,,1,C16.2.1,1,NA
2,16,7/2/2015,,1,C16.2.1,2,NA
2,16,7/2/2015,,1,C16.2.1,3,NA
2,16,7/2/2015,,1,C16.2.1,4,NA
2,16,7/2/2015,,1,C16.2.1,5,NA
2,16,7/2/2015,,1,C16.2.1,6,NA
2,16,7/2/2015,,2,C16.2.2,1,NA
